script,categoria,modo,execucao,tempo_real_seg,memoria_kb,cpu_percentual
numerico.py,Processamento numerico,tradicional,1,0.18,61300,522%
numerico.py,Processamento numerico,tradicional,2,0.27,61424,481%
numerico.py,Processamento numerico,tradicional,3,0.18,60376,540%
numerico.py,Processamento numerico,noworkflow,1,6.87,168912,107%
numerico.py,Processamento numerico,noworkflow,2,3.36,161360,139%
numerico.py,Processamento numerico,noworkflow,3,3.23,161392,141%
arquivos.py,Leitura e escrita de arquivos,tradicional,1,0.03,12160,84%
arquivos.py,Leitura e escrita de arquivos,tradicional,2,0.04,12100,80%
arquivos.py,Leitura e escrita de arquivos,tradicional,3,0.03,12116,85%
arquivos.py,Leitura e escrita de arquivos,noworkflow,1,17.18,363816,87%
arquivos.py,Leitura e escrita de arquivos,noworkflow,2,16.86,362908,75%
arquivos.py,Leitura e escrita de arquivos,noworkflow,3,13.42,362760,93%
ordenacao.py,Ordenacao e busca,tradicional,1,0.02,10272,75%
ordenacao.py,Ordenacao e busca,tradicional,2,0.02,10276,100%
ordenacao.py,Ordenacao e busca,tradicional,3,0.02,10272,95%
ordenacao.py,Ordenacao e busca,noworkflow,1,9.72,253664,69%
ordenacao.py,Ordenacao e busca,noworkflow,2,8.29,253340,79%
ordenacao.py,Ordenacao e busca,noworkflow,3,7.64,253272,90%
xgboost_classifier.py,Classificação com XGBoost,tradicional,1,1.67,181620,223%
xgboost_classifier.py,Classificação com XGBoost,tradicional,2,1.58,181836,210%
xgboost_classifier.py,Classificação com XGBoost,tradicional,3,1.68,181816,208%
xgboost_classifier.py,Classificação com XGBoost,noworkflow,1,14.41,357520,112%
xgboost_classifier.py,Classificação com XGBoost,noworkflow,2,12.96,358092,115%
xgboost_classifier.py,Classificação com XGBoost,noworkflow,3,13.60,355628,114%
xgboost_regressor.py,Regressão com XGBoost,tradicional,1,1.97,159504,447%
xgboost_regressor.py,Regressão com XGBoost,tradicional,2,1.77,161056,414%
xgboost_regressor.py,Regressão com XGBoost,tradicional,3,3.56,159408,489%
xgboost_regressor.py,Regressão com XGBoost,noworkflow,1,11.96,314168,143%
xgboost_regressor.py,Regressão com XGBoost,noworkflow,2,11.14,314224,150%
xgboost_regressor.py,Regressão com XGBoost,noworkflow,3,11.94,316148,149%
logistic_regression.py,Regressão Logística,tradicional,1,3.86,151100,134%
logistic_regression.py,Regressão Logística,tradicional,2,4.03,150264,133%
logistic_regression.py,Regressão Logística,tradicional,3,3.89,150532,134%
